machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;2048;64;64;1;asandPile;omp;opt1;256;static;cores;square;none;5537498;-1;-1
miro;2048;256;256;1;asandPile;omp;opt1;256;static;cores;square;none;4675219;-1;-1
miro;2048;512;512;1;asandPile;omp;opt1;256;static;cores;square;none;4501705;-1;-1
miro;2048;64;64;4;asandPile;omp;opt1;256;static;cores;square;none;1351197;-1;-1
miro;2048;256;256;4;asandPile;omp;opt1;256;static;cores;square;none;1172008;-1;-1
miro;2048;512;512;4;asandPile;omp;opt1;256;static;cores;square;none;1155836;-1;-1
miro;2048;64;64;8;asandPile;omp;opt1;256;static;cores;square;none;660623;-1;-1
miro;2048;256;256;8;asandPile;omp;opt1;256;static;cores;square;none;610910;-1;-1
miro;2048;512;512;8;asandPile;omp;opt1;256;static;cores;square;none;1165173;-1;-1
miro;2048;64;64;12;asandPile;omp;opt1;256;static;cores;square;none;774902;-1;-1
miro;2048;256;256;12;asandPile;omp;opt1;256;static;cores;square;none;621981;-1;-1
miro;2048;512;512;12;asandPile;omp;opt1;256;static;cores;square;none;1164733;-1;-1
miro;2048;64;64;16;asandPile;omp;opt1;256;static;cores;square;none;609272;-1;-1
miro;2048;256;256;16;asandPile;omp;opt1;256;static;cores;square;none;569543;-1;-1
miro;2048;512;512;16;asandPile;omp;opt1;256;static;cores;square;none;1162529;-1;-1
miro;2048;64;64;20;asandPile;omp;opt1;256;static;cores;square;none;487704;-1;-1
miro;2048;256;256;20;asandPile;omp;opt1;256;static;cores;square;none;589094;-1;-1
miro;2048;512;512;20;asandPile;omp;opt1;256;static;cores;square;none;1163536;-1;-1
miro;2048;64;64;24;asandPile;omp;opt1;256;static;cores;square;none;390310;-1;-1
miro;2048;256;256;24;asandPile;omp;opt1;256;static;cores;square;none;575915;-1;-1
miro;2048;512;512;24;asandPile;omp;opt1;256;static;cores;square;none;2185096;-1;-1
miro;2048;64;64;28;asandPile;omp;opt1;256;static;cores;square;none;350069;-1;-1
miro;2048;256;256;28;asandPile;omp;opt1;256;static;cores;square;none;592482;-1;-1
miro;2048;512;512;28;asandPile;omp;opt1;256;static;cores;square;none;1540952;-1;-1
miro;2048;64;64;32;asandPile;omp;opt1;256;static;cores;square;none;285395;-1;-1
miro;2048;256;256;32;asandPile;omp;opt1;256;static;cores;square;none;2268490;-1;-1
miro;2048;512;512;32;asandPile;omp;opt1;256;static;cores;square;none;1563353;-1;-1
miro;2048;64;64;36;asandPile;omp;opt1;256;static;cores;square;none;274654;-1;-1
miro;2048;256;256;36;asandPile;omp;opt1;256;static;cores;square;none;500719;-1;-1
miro;2048;512;512;36;asandPile;omp;opt1;256;static;cores;square;none;1612286;-1;-1
miro;2048;64;64;40;asandPile;omp;opt1;256;static;cores;square;none;311437;-1;-1
miro;2048;256;256;40;asandPile;omp;opt1;256;static;cores;square;none;445532;-1;-1
miro;2048;512;512;40;asandPile;omp;opt1;256;static;cores;square;none;1567709;-1;-1
miro;2048;64;64;44;asandPile;omp;opt1;256;static;cores;square;none;16366411;-1;-1
miro;2048;256;256;44;asandPile;omp;opt1;256;static;cores;square;none;446488;-1;-1
miro;2048;512;512;44;asandPile;omp;opt1;256;static;cores;square;none;1671225;-1;-1
miro;2048;64;64;48;asandPile;omp;opt1;256;static;cores;square;none;16118471;-1;-1
miro;2048;256;256;48;asandPile;omp;opt1;256;static;cores;square;none;16248601;-1;-1
miro;2048;512;512;48;asandPile;omp;opt1;256;static;cores;square;none;16378133;-1;-1
miro;2048;64;64;1;asandPile;omp;opt1;256;static,1;cores;square;none;5517668;-1;-1
miro;2048;256;256;1;asandPile;omp;opt1;256;static,1;cores;square;none;4657909;-1;-1
miro;2048;512;512;1;asandPile;omp;opt1;256;static,1;cores;square;none;4492865;-1;-1
miro;2048;64;64;4;asandPile;omp;opt1;256;static,1;cores;square;none;1389165;-1;-1
miro;2048;256;256;4;asandPile;omp;opt1;256;static,1;cores;square;none;1289519;-1;-1
miro;2048;512;512;4;asandPile;omp;opt1;256;static,1;cores;square;none;1155720;-1;-1
