machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
ernst;256;8;8;1;asandPile;omp;opt1;256;static;cores;square;none;131758;-1;-1
ernst;256;16;16;1;asandPile;omp;opt1;256;static;cores;square;none;114170;-1;-1
ernst;256;32;32;1;asandPile;omp;opt1;256;static;cores;square;none;105854;-1;-1
ernst;256;64;64;1;asandPile;omp;opt1;256;static;cores;square;none;101217;-1;-1
ernst;256;8;8;4;asandPile;omp;opt1;256;static;cores;square;none;43594;-1;-1
ernst;256;16;16;4;asandPile;omp;opt1;256;static;cores;square;none;38560;-1;-1
ernst;256;32;32;4;asandPile;omp;opt1;256;static;cores;square;none;35490;-1;-1
ernst;256;64;64;4;asandPile;omp;opt1;256;static;cores;square;none;35915;-1;-1
ernst;256;8;8;8;asandPile;omp;opt1;256;static;cores;square;none;31382;-1;-1
ernst;256;16;16;8;asandPile;omp;opt1;256;static;cores;square;none;24679;-1;-1
ernst;256;32;32;8;asandPile;omp;opt1;256;static;cores;square;none;27725;-1;-1
ernst;256;64;64;8;asandPile;omp;opt1;256;static;cores;square;none;37592;-1;-1
ernst;256;8;8;12;asandPile;omp;opt1;256;static;cores;square;none;26681;-1;-1
ernst;256;16;16;12;asandPile;omp;opt1;256;static;cores;square;none;23711;-1;-1
ernst;256;32;32;12;asandPile;omp;opt1;256;static;cores;square;none;26476;-1;-1
ernst;256;64;64;12;asandPile;omp;opt1;256;static;cores;square;none;36376;-1;-1
ernst;256;8;8;16;asandPile;omp;opt1;256;static;cores;square;none;24695;-1;-1
ernst;256;16;16;16;asandPile;omp;opt1;256;static;cores;square;none;23033;-1;-1
ernst;256;32;32;16;asandPile;omp;opt1;256;static;cores;square;none;27839;-1;-1
ernst;256;64;64;16;asandPile;omp;opt1;256;static;cores;square;none;36293;-1;-1
ernst;256;8;8;20;asandPile;omp;opt1;256;static;cores;square;none;23816;-1;-1
ernst;256;16;16;20;asandPile;omp;opt1;256;static;cores;square;none;22630;-1;-1
ernst;256;32;32;20;asandPile;omp;opt1;256;static;cores;square;none;26121;-1;-1
ernst;256;64;64;20;asandPile;omp;opt1;256;static;cores;square;none;39929;-1;-1
ernst;256;8;8;24;asandPile;omp;opt1;256;static;cores;square;none;23140;-1;-1
ernst;256;16;16;24;asandPile;omp;opt1;256;static;cores;square;none;25357;-1;-1
ernst;256;32;32;24;asandPile;omp;opt1;256;static;cores;square;none;27625;-1;-1
ernst;256;64;64;24;asandPile;omp;opt1;256;static;cores;square;none;40192;-1;-1
ernst;256;8;8;28;asandPile;omp;opt1;256;static;cores;square;none;24819;-1;-1
ernst;256;16;16;28;asandPile;omp;opt1;256;static;cores;square;none;23515;-1;-1
ernst;256;32;32;28;asandPile;omp;opt1;256;static;cores;square;none;27132;-1;-1
ernst;256;64;64;28;asandPile;omp;opt1;256;static;cores;square;none;125671;-1;-1
ernst;256;8;8;32;asandPile;omp;opt1;256;static;cores;square;none;24637;-1;-1
ernst;256;16;16;32;asandPile;omp;opt1;256;static;cores;square;none;27596;-1;-1
ernst;256;32;32;32;asandPile;omp;opt1;256;static;cores;square;none;27753;-1;-1
ernst;256;64;64;32;asandPile;omp;opt1;256;static;cores;square;none;38586;-1;-1
ernst;256;8;8;36;asandPile;omp;opt1;256;static;cores;square;none;22954;-1;-1
ernst;256;16;16;36;asandPile;omp;opt1;256;static;cores;square;none;25051;-1;-1
ernst;256;32;32;36;asandPile;omp;opt1;256;static;cores;square;none;31175;-1;-1
ernst;256;64;64;36;asandPile;omp;opt1;256;static;cores;square;none;39823;-1;-1
ernst;256;8;8;40;asandPile;omp;opt1;256;static;cores;square;none;26937;-1;-1
ernst;256;16;16;40;asandPile;omp;opt1;256;static;cores;square;none;27019;-1;-1
ernst;256;32;32;40;asandPile;omp;opt1;256;static;cores;square;none;29167;-1;-1
ernst;256;64;64;40;asandPile;omp;opt1;256;static;cores;square;none;44472;-1;-1
ernst;256;8;8;44;asandPile;omp;opt1;256;static;cores;square;none;25761;-1;-1
ernst;256;16;16;44;asandPile;omp;opt1;256;static;cores;square;none;26210;-1;-1
