machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
ernst;256;8;8;1;asandPile;omp;opt1;256;static;cores;square;none;102186;-1;-1
ernst;256;16;16;1;asandPile;omp;opt1;256;static;cores;square;none;77300;-1;-1
ernst;256;32;32;1;asandPile;omp;opt1;256;static;cores;square;none;68492;-1;-1
ernst;256;64;64;1;asandPile;omp;opt1;256;static;cores;square;none;62322;-1;-1
ernst;256;8;8;4;asandPile;omp;opt1;256;static;cores;square;none;41329;-1;-1
ernst;256;16;16;4;asandPile;omp;opt1;256;static;cores;square;none;34782;-1;-1
ernst;256;32;32;4;asandPile;omp;opt1;256;static;cores;square;none;34199;-1;-1
ernst;256;64;64;4;asandPile;omp;opt1;256;static;cores;square;none;35021;-1;-1
ernst;256;8;8;8;asandPile;omp;opt1;256;static;cores;square;none;28291;-1;-1
ernst;256;16;16;8;asandPile;omp;opt1;256;static;cores;square;none;25143;-1;-1
ernst;256;32;32;8;asandPile;omp;opt1;256;static;cores;square;none;28114;-1;-1
ernst;256;64;64;8;asandPile;omp;opt1;256;static;cores;square;none;38655;-1;-1
ernst;256;8;8;12;asandPile;omp;opt1;256;static;cores;square;none;28021;-1;-1
ernst;256;16;16;12;asandPile;omp;opt1;256;static;cores;square;none;30445;-1;-1
ernst;256;32;32;12;asandPile;omp;opt1;256;static;cores;square;none;29877;-1;-1
ernst;256;64;64;12;asandPile;omp;opt1;256;static;cores;square;none;37635;-1;-1
ernst;256;8;8;16;asandPile;omp;opt1;256;static;cores;square;none;31504;-1;-1
ernst;256;16;16;16;asandPile;omp;opt1;256;static;cores;square;none;23777;-1;-1
ernst;256;32;32;16;asandPile;omp;opt1;256;static;cores;square;none;26568;-1;-1
ernst;256;64;64;16;asandPile;omp;opt1;256;static;cores;square;none;46064;-1;-1
ernst;256;8;8;20;asandPile;omp;opt1;256;static;cores;square;none;25975;-1;-1
ernst;256;16;16;20;asandPile;omp;opt1;256;static;cores;square;none;25119;-1;-1
ernst;256;32;32;20;asandPile;omp;opt1;256;static;cores;square;none;30284;-1;-1
ernst;256;64;64;20;asandPile;omp;opt1;256;static;cores;square;none;39800;-1;-1
ernst;256;8;8;24;asandPile;omp;opt1;256;static;cores;square;none;24736;-1;-1
ernst;256;16;16;24;asandPile;omp;opt1;256;static;cores;square;none;27198;-1;-1
ernst;256;32;32;24;asandPile;omp;opt1;256;static;cores;square;none;30183;-1;-1
ernst;256;64;64;24;asandPile;omp;opt1;256;static;cores;square;none;42507;-1;-1
ernst;256;8;8;28;asandPile;omp;opt1;256;static;cores;square;none;25494;-1;-1
ernst;256;16;16;28;asandPile;omp;opt1;256;static;cores;square;none;26060;-1;-1
ernst;256;32;32;28;asandPile;omp;opt1;256;static;cores;square;none;29712;-1;-1
ernst;256;64;64;28;asandPile;omp;opt1;256;static;cores;square;none;43722;-1;-1
ernst;256;8;8;32;asandPile;omp;opt1;256;static;cores;square;none;27489;-1;-1
ernst;256;16;16;32;asandPile;omp;opt1;256;static;cores;square;none;26627;-1;-1
ernst;256;32;32;32;asandPile;omp;opt1;256;static;cores;square;none;32550;-1;-1
ernst;256;64;64;32;asandPile;omp;opt1;256;static;cores;square;none;46956;-1;-1
ernst;256;8;8;36;asandPile;omp;opt1;256;static;cores;square;none;32932;-1;-1
ernst;256;16;16;36;asandPile;omp;opt1;256;static;cores;square;none;27816;-1;-1
ernst;256;32;32;36;asandPile;omp;opt1;256;static;cores;square;none;31976;-1;-1
ernst;256;64;64;36;asandPile;omp;opt1;256;static;cores;square;none;48554;-1;-1
ernst;256;8;8;40;asandPile;omp;opt1;256;static;cores;square;none;27918;-1;-1
ernst;256;16;16;40;asandPile;omp;opt1;256;static;cores;square;none;31358;-1;-1
ernst;256;32;32;40;asandPile;omp;opt1;256;static;cores;square;none;34282;-1;-1
ernst;256;64;64;40;asandPile;omp;opt1;256;static;cores;square;none;47285;-1;-1
ernst;256;8;8;44;asandPile;omp;opt1;256;static;cores;square;none;30428;-1;-1
ernst;256;16;16;44;asandPile;omp;opt1;256;static;cores;square;none;29732;-1;-1
ernst;256;32;32;44;asandPile;omp;opt1;256;static;cores;square;none;34813;-1;-1
ernst;256;64;64;44;asandPile;omp;opt1;256;static;cores;square;none;49879;-1;-1
ernst;256;8;8;48;asandPile;omp;opt1;256;static;cores;square;none;65939;-1;-1
ernst;256;16;16;48;asandPile;omp;opt1;256;static;cores;square;none;40607;-1;-1
ernst;256;32;32;48;asandPile;omp;opt1;256;static;cores;square;none;45839;-1;-1
ernst;256;64;64;48;asandPile;omp;opt1;256;static;cores;square;none;67013;-1;-1
ernst;256;8;8;1;asandPile;omp;opt1;256;static,1;cores;square;none;101863;-1;-1
ernst;256;16;16;1;asandPile;omp;opt1;256;static,1;cores;square;none;76377;-1;-1
ernst;256;32;32;1;asandPile;omp;opt1;256;static,1;cores;square;none;66921;-1;-1
ernst;256;64;64;1;asandPile;omp;opt1;256;static,1;cores;square;none;61997;-1;-1
ernst;256;8;8;4;asandPile;omp;opt1;256;static,1;cores;square;none;119294;-1;-1
ernst;256;16;16;4;asandPile;omp;opt1;256;static,1;cores;square;none;64281;-1;-1
ernst;256;32;32;4;asandPile;omp;opt1;256;static,1;cores;square;none;51593;-1;-1
ernst;256;64;64;4;asandPile;omp;opt1;256;static,1;cores;square;none;35924;-1;-1
ernst;256;8;8;8;asandPile;omp;opt1;256;static,1;cores;square;none;162669;-1;-1
ernst;256;16;16;8;asandPile;omp;opt1;256;static,1;cores;square;none;44177;-1;-1
ernst;256;32;32;8;asandPile;omp;opt1;256;static,1;cores;square;none;35371;-1;-1
ernst;256;64;64;8;asandPile;omp;opt1;256;static,1;cores;square;none;36271;-1;-1
ernst;256;8;8;12;asandPile;omp;opt1;256;static,1;cores;square;none;96324;-1;-1
ernst;256;16;16;12;asandPile;omp;opt1;256;static,1;cores;square;none;33675;-1;-1
ernst;256;32;32;12;asandPile;omp;opt1;256;static,1;cores;square;none;32822;-1;-1
ernst;256;64;64;12;asandPile;omp;opt1;256;static,1;cores;square;none;35286;-1;-1
ernst;256;8;8;16;asandPile;omp;opt1;256;static,1;cores;square;none;122915;-1;-1
ernst;256;16;16;16;asandPile;omp;opt1;256;static,1;cores;square;none;40985;-1;-1
ernst;256;32;32;16;asandPile;omp;opt1;256;static,1;cores;square;none;28708;-1;-1
ernst;256;64;64;16;asandPile;omp;opt1;256;static,1;cores;square;none;38782;-1;-1
ernst;256;8;8;20;asandPile;omp;opt1;256;static,1;cores;square;none;98526;-1;-1
ernst;256;16;16;20;asandPile;omp;opt1;256;static,1;cores;square;none;35805;-1;-1
ernst;256;32;32;20;asandPile;omp;opt1;256;static,1;cores;square;none;27943;-1;-1
ernst;256;64;64;20;asandPile;omp;opt1;256;static,1;cores;square;none;36826;-1;-1
ernst;256;8;8;24;asandPile;omp;opt1;256;static,1;cores;square;none;96066;-1;-1
ernst;256;16;16;24;asandPile;omp;opt1;256;static,1;cores;square;none;35365;-1;-1
