machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
matisse;1024;8;8;1;asandPile;ompd;ooo;10;static;cores;square;none;228606;-1;-1
matisse;1024;16;16;1;asandPile;ompd;ooo;10;static;cores;square;none;151966;-1;-1
matisse;1024;32;32;1;asandPile;ompd;ooo;10;static;cores;square;none;117915;-1;-1
matisse;1024;64;64;1;asandPile;ompd;ooo;10;static;cores;square;none;91181;-1;-1
matisse;1024;128;128;1;asandPile;ompd;ooo;10;static;cores;square;none;80078;-1;-1
matisse;1024;256;256;1;asandPile;ompd;ooo;10;static;cores;square;none;74501;-1;-1
matisse;1024;512;512;1;asandPile;ompd;ooo;10;static;cores;square;none;65407;-1;-1
matisse;1024;8;8;4;asandPile;ompd;ooo;10;static;cores;square;none;70727;-1;-1
matisse;1024;16;16;4;asandPile;ompd;ooo;10;static;cores;square;none;54086;-1;-1
matisse;1024;32;32;4;asandPile;ompd;ooo;10;static;cores;square;none;40648;-1;-1
matisse;1024;64;64;4;asandPile;ompd;ooo;10;static;cores;square;none;34602;-1;-1
matisse;1024;128;128;4;asandPile;ompd;ooo;10;static;cores;square;none;32969;-1;-1
matisse;1024;256;256;4;asandPile;ompd;ooo;10;static;cores;square;none;33425;-1;-1
matisse;1024;512;512;4;asandPile;ompd;ooo;10;static;cores;square;none;70537;-1;-1
matisse;1024;8;8;8;asandPile;ompd;ooo;10;static;cores;square;none;42428;-1;-1
matisse;1024;16;16;8;asandPile;ompd;ooo;10;static;cores;square;none;32851;-1;-1
matisse;1024;32;32;8;asandPile;ompd;ooo;10;static;cores;square;none;26178;-1;-1
matisse;1024;64;64;8;asandPile;ompd;ooo;10;static;cores;square;none;23795;-1;-1
matisse;1024;128;128;8;asandPile;ompd;ooo;10;static;cores;square;none;21327;-1;-1
matisse;1024;256;256;8;asandPile;ompd;ooo;10;static;cores;square;none;33462;-1;-1
matisse;1024;512;512;8;asandPile;ompd;ooo;10;static;cores;square;none;65993;-1;-1
matisse;1024;8;8;12;asandPile;ompd;ooo;10;static;cores;square;none;36431;-1;-1
matisse;1024;16;16;12;asandPile;ompd;ooo;10;static;cores;square;none;26428;-1;-1
matisse;1024;32;32;12;asandPile;ompd;ooo;10;static;cores;square;none;23434;-1;-1
matisse;1024;64;64;12;asandPile;ompd;ooo;10;static;cores;square;none;19869;-1;-1
matisse;1024;128;128;12;asandPile;ompd;ooo;10;static;cores;square;none;21217;-1;-1
matisse;1024;256;256;12;asandPile;ompd;ooo;10;static;cores;square;none;30473;-1;-1
matisse;1024;512;512;12;asandPile;ompd;ooo;10;static;cores;square;none;68804;-1;-1
matisse;1024;8;8;16;asandPile;ompd;ooo;10;static;cores;square;none;31386;-1;-1
matisse;1024;16;16;16;asandPile;ompd;ooo;10;static;cores;square;none;23441;-1;-1
matisse;1024;32;32;16;asandPile;ompd;ooo;10;static;cores;square;none;18805;-1;-1
matisse;1024;64;64;16;asandPile;ompd;ooo;10;static;cores;square;none;17471;-1;-1
matisse;1024;128;128;16;asandPile;ompd;ooo;10;static;cores;square;none;15211;-1;-1
matisse;1024;256;256;16;asandPile;ompd;ooo;10;static;cores;square;none;33331;-1;-1
matisse;1024;512;512;16;asandPile;ompd;ooo;10;static;cores;square;none;67977;-1;-1
matisse;1024;8;8;20;asandPile;ompd;ooo;10;static;cores;square;none;27671;-1;-1
matisse;1024;16;16;20;asandPile;ompd;ooo;10;static;cores;square;none;20457;-1;-1
matisse;1024;32;32;20;asandPile;ompd;ooo;10;static;cores;square;none;17663;-1;-1
matisse;1024;64;64;20;asandPile;ompd;ooo;10;static;cores;square;none;15004;-1;-1
matisse;1024;128;128;20;asandPile;ompd;ooo;10;static;cores;square;none;15671;-1;-1
matisse;1024;256;256;20;asandPile;ompd;ooo;10;static;cores;square;none;30989;-1;-1
matisse;1024;512;512;20;asandPile;ompd;ooo;10;static;cores;square;none;67232;-1;-1
matisse;1024;8;8;24;asandPile;ompd;ooo;10;static;cores;square;none;24985;-1;-1
matisse;1024;16;16;24;asandPile;ompd;ooo;10;static;cores;square;none;19618;-1;-1
matisse;1024;32;32;24;asandPile;ompd;ooo;10;static;cores;square;none;17052;-1;-1
matisse;1024;64;64;24;asandPile;ompd;ooo;10;static;cores;square;none;14161;-1;-1
matisse;1024;128;128;24;asandPile;ompd;ooo;10;static;cores;square;none;16559;-1;-1
matisse;1024;256;256;24;asandPile;ompd;ooo;10;static;cores;square;none;33457;-1;-1
matisse;1024;512;512;24;asandPile;ompd;ooo;10;static;cores;square;none;69347;-1;-1
matisse;1024;8;8;28;asandPile;ompd;ooo;10;static;cores;square;none;30264;-1;-1
matisse;1024;16;16;28;asandPile;ompd;ooo;10;static;cores;square;none;23791;-1;-1
matisse;1024;32;32;28;asandPile;ompd;ooo;10;static;cores;square;none;17676;-1;-1
matisse;1024;64;64;28;asandPile;ompd;ooo;10;static;cores;square;none;18147;-1;-1
matisse;1024;128;128;28;asandPile;ompd;ooo;10;static;cores;square;none;17911;-1;-1
matisse;1024;256;256;28;asandPile;ompd;ooo;10;static;cores;square;none;39179;-1;-1
matisse;1024;512;512;28;asandPile;ompd;ooo;10;static;cores;square;none;93431;-1;-1
matisse;1024;8;8;32;asandPile;ompd;ooo;10;static;cores;square;none;27750;-1;-1
matisse;1024;16;16;32;asandPile;ompd;ooo;10;static;cores;square;none;20045;-1;-1
matisse;1024;32;32;32;asandPile;ompd;ooo;10;static;cores;square;none;16844;-1;-1
matisse;1024;64;64;32;asandPile;ompd;ooo;10;static;cores;square;none;14417;-1;-1
matisse;1024;128;128;32;asandPile;ompd;ooo;10;static;cores;square;none;18940;-1;-1
matisse;1024;256;256;32;asandPile;ompd;ooo;10;static;cores;square;none;37818;-1;-1
matisse;1024;512;512;32;asandPile;ompd;ooo;10;static;cores;square;none;93111;-1;-1
matisse;1024;8;8;36;asandPile;ompd;ooo;10;static;cores;square;none;22701;-1;-1
matisse;1024;16;16;36;asandPile;ompd;ooo;10;static;cores;square;none;18318;-1;-1
matisse;1024;32;32;36;asandPile;ompd;ooo;10;static;cores;square;none;15290;-1;-1
matisse;1024;64;64;36;asandPile;ompd;ooo;10;static;cores;square;none;14709;-1;-1
matisse;1024;128;128;36;asandPile;ompd;ooo;10;static;cores;square;none;19020;-1;-1
matisse;1024;256;256;36;asandPile;ompd;ooo;10;static;cores;square;none;37383;-1;-1
matisse;1024;512;512;36;asandPile;ompd;ooo;10;static;cores;square;none;97768;-1;-1
matisse;1024;8;8;40;asandPile;ompd;ooo;10;static;cores;square;none;30236;-1;-1
matisse;1024;16;16;40;asandPile;ompd;ooo;10;static;cores;square;none;19048;-1;-1
matisse;1024;32;32;40;asandPile;ompd;ooo;10;static;cores;square;none;16619;-1;-1
matisse;1024;64;64;40;asandPile;ompd;ooo;10;static;cores;square;none;14418;-1;-1
matisse;1024;128;128;40;asandPile;ompd;ooo;10;static;cores;square;none;19912;-1;-1
matisse;1024;256;256;40;asandPile;ompd;ooo;10;static;cores;square;none;39254;-1;-1
matisse;1024;512;512;40;asandPile;ompd;ooo;10;static;cores;square;none;91259;-1;-1
matisse;1024;8;8;44;asandPile;ompd;ooo;10;static;cores;square;none;21152;-1;-1
matisse;1024;16;16;44;asandPile;ompd;ooo;10;static;cores;square;none;17124;-1;-1
matisse;1024;32;32;44;asandPile;ompd;ooo;10;static;cores;square;none;14869;-1;-1
matisse;1024;64;64;44;asandPile;ompd;ooo;10;static;cores;square;none;14393;-1;-1
matisse;1024;128;128;44;asandPile;ompd;ooo;10;static;cores;square;none;20408;-1;-1
matisse;1024;256;256;44;asandPile;ompd;ooo;10;static;cores;square;none;37437;-1;-1
matisse;1024;512;512;44;asandPile;ompd;ooo;10;static;cores;square;none;91084;-1;-1
matisse;1024;8;8;48;asandPile;ompd;ooo;10;static;cores;square;none;28089;-1;-1
matisse;1024;16;16;48;asandPile;ompd;ooo;10;static;cores;square;none;21230;-1;-1
matisse;1024;32;32;48;asandPile;ompd;ooo;10;static;cores;square;none;24661;-1;-1
matisse;1024;64;64;48;asandPile;ompd;ooo;10;static;cores;square;none;33216;-1;-1
matisse;1024;128;128;48;asandPile;ompd;ooo;10;static;cores;square;none;26697;-1;-1
matisse;1024;256;256;48;asandPile;ompd;ooo;10;static;cores;square;none;53270;-1;-1
matisse;1024;512;512;48;asandPile;ompd;ooo;10;static;cores;square;none;98566;-1;-1
matisse;1024;8;8;1;asandPile;ompd;ooo;10;static,1;cores;square;none;232420;-1;-1
matisse;1024;16;16;1;asandPile;ompd;ooo;10;static,1;cores;square;none;152249;-1;-1
matisse;1024;32;32;1;asandPile;ompd;ooo;10;static,1;cores;square;none;116982;-1;-1
matisse;1024;64;64;1;asandPile;ompd;ooo;10;static,1;cores;square;none;93899;-1;-1
