machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;8192;512;512;1;asandPile;omp;opt1;16;static;cores;square;alea;1422947;-1;-1
miro;8192;1024;1024;1;asandPile;omp;opt1;16;static;cores;square;alea;1245659;-1;-1
miro;8192;2048;2048;1;asandPile;omp;opt1;16;static;cores;square;alea;1219728;-1;-1
miro;8192;512;512;4;asandPile;omp;opt1;16;static;cores;square;alea;371623;-1;-1
miro;8192;1024;1024;4;asandPile;omp;opt1;16;static;cores;square;alea;324982;-1;-1
miro;8192;2048;2048;4;asandPile;omp;opt1;16;static;cores;square;alea;313698;-1;-1
miro;8192;512;512;8;asandPile;omp;opt1;16;static;cores;square;alea;219741;-1;-1
miro;8192;1024;1024;8;asandPile;omp;opt1;16;static;cores;square;alea;174695;-1;-1
miro;8192;2048;2048;8;asandPile;omp;opt1;16;static;cores;square;alea;315294;-1;-1
miro;8192;512;512;12;asandPile;omp;opt1;16;static;cores;square;alea;204608;-1;-1
miro;8192;1024;1024;12;asandPile;omp;opt1;16;static;cores;square;alea;185063;-1;-1
miro;8192;2048;2048;12;asandPile;omp;opt1;16;static;cores;square;alea;316991;-1;-1
miro;8192;512;512;16;asandPile;omp;opt1;16;static;cores;square;alea;194167;-1;-1
miro;8192;1024;1024;16;asandPile;omp;opt1;16;static;cores;square;alea;141071;-1;-1
miro;8192;2048;2048;16;asandPile;omp;opt1;16;static;cores;square;alea;315855;-1;-1
miro;8192;512;512;20;asandPile;omp;opt1;16;static;cores;square;alea;190696;-1;-1
miro;8192;1024;1024;20;asandPile;omp;opt1;16;static;cores;square;alea;143618;-1;-1
miro;8192;2048;2048;20;asandPile;omp;opt1;16;static;cores;square;alea;317602;-1;-1
miro;8192;512;512;24;asandPile;omp;opt1;16;static;cores;square;alea;191193;-1;-1
miro;8192;1024;1024;24;asandPile;omp;opt1;16;static;cores;square;alea;145201;-1;-1
miro;8192;2048;2048;24;asandPile;omp;opt1;16;static;cores;square;alea;344249;-1;-1
miro;8192;512;512;28;asandPile;omp;opt1;16;static;cores;square;alea;203978;-1;-1
miro;8192;1024;1024;28;asandPile;omp;opt1;16;static;cores;square;alea;157785;-1;-1
miro;8192;2048;2048;28;asandPile;omp;opt1;16;static;cores;square;alea;533246;-1;-1
miro;8192;512;512;32;asandPile;omp;opt1;16;static;cores;square;alea;206709;-1;-1
miro;8192;1024;1024;32;asandPile;omp;opt1;16;static;cores;square;alea;154886;-1;-1
miro;8192;2048;2048;32;asandPile;omp;opt1;16;static;cores;square;alea;527543;-1;-1
miro;8192;512;512;36;asandPile;omp;opt1;16;static;cores;square;alea;203678;-1;-1
miro;8192;1024;1024;36;asandPile;omp;opt1;16;static;cores;square;alea;194306;-1;-1
