machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;8192;512;512;1;asandPile;omp;opt1;256;static;cores;square;spirals;21531447;-1;-1
miro;8192;1024;1024;1;asandPile;omp;opt1;256;static;cores;square;spirals;19028232;-1;-1
miro;8192;2048;2048;1;asandPile;omp;opt1;256;static;cores;square;spirals;18676345;-1;-1
miro;8192;512;512;4;asandPile;omp;opt1;256;static;cores;square;spirals;5563193;-1;-1
miro;8192;1024;1024;4;asandPile;omp;opt1;256;static;cores;square;spirals;4931294;-1;-1
miro;8192;2048;2048;4;asandPile;omp;opt1;256;static;cores;square;spirals;4720099;-1;-1
miro;8192;512;512;8;asandPile;omp;opt1;256;static;cores;square;spirals;3068011;-1;-1
miro;8192;1024;1024;8;asandPile;omp;opt1;256;static;cores;square;spirals;2546714;-1;-1
miro;8192;2048;2048;8;asandPile;omp;opt1;256;static;cores;square;spirals;4715036;-1;-1
miro;8192;512;512;12;asandPile;omp;opt1;256;static;cores;square;spirals;2822069;-1;-1
miro;8192;1024;1024;12;asandPile;omp;opt1;256;static;cores;square;spirals;2666194;-1;-1
miro;8192;2048;2048;12;asandPile;omp;opt1;256;static;cores;square;spirals;4723775;-1;-1
miro;8192;512;512;16;asandPile;omp;opt1;256;static;cores;square;spirals;2594938;-1;-1
miro;8192;1024;1024;16;asandPile;omp;opt1;256;static;cores;square;spirals;1766179;-1;-1
miro;8192;2048;2048;16;asandPile;omp;opt1;256;static;cores;square;spirals;4726437;-1;-1
miro;8192;512;512;20;asandPile;omp;opt1;256;static;cores;square;spirals;2536007;-1;-1
miro;8192;1024;1024;20;asandPile;omp;opt1;256;static;cores;square;spirals;1772815;-1;-1
miro;8192;2048;2048;20;asandPile;omp;opt1;256;static;cores;square;spirals;4724162;-1;-1
miro;8192;512;512;24;asandPile;omp;opt1;256;static;cores;square;spirals;2571422;-1;-1
miro;8192;1024;1024;24;asandPile;omp;opt1;256;static;cores;square;spirals;1792210;-1;-1
miro;8192;2048;2048;24;asandPile;omp;opt1;256;static;cores;square;spirals;4805218;-1;-1
miro;8192;512;512;28;asandPile;omp;opt1;256;static;cores;square;spirals;2686905;-1;-1
miro;8192;1024;1024;28;asandPile;omp;opt1;256;static;cores;square;spirals;2040846;-1;-1
miro;8192;2048;2048;28;asandPile;omp;opt1;256;static;cores;square;spirals;6674953;-1;-1
miro;8192;512;512;32;asandPile;omp;opt1;256;static;cores;square;spirals;2894315;-1;-1
miro;8192;1024;1024;32;asandPile;omp;opt1;256;static;cores;square;spirals;2003108;-1;-1
miro;8192;2048;2048;32;asandPile;omp;opt1;256;static;cores;square;spirals;6715852;-1;-1
miro;8192;512;512;36;asandPile;omp;opt1;256;static;cores;square;spirals;2890116;-1;-1
miro;8192;1024;1024;36;asandPile;omp;opt1;256;static;cores;square;spirals;1904152;-1;-1
miro;8192;2048;2048;36;asandPile;omp;opt1;256;static;cores;square;spirals;6686993;-1;-1
miro;8192;512;512;40;asandPile;omp;opt1;256;static;cores;square;spirals;2918298;-1;-1
miro;8192;1024;1024;40;asandPile;omp;opt1;256;static;cores;square;spirals;1946958;-1;-1
miro;8192;2048;2048;40;asandPile;omp;opt1;256;static;cores;square;spirals;6680911;-1;-1
miro;8192;512;512;44;asandPile;omp;opt1;256;static;cores;square;spirals;2717928;-1;-1
miro;8192;1024;1024;44;asandPile;omp;opt1;256;static;cores;square;spirals;2075423;-1;-1
miro;8192;2048;2048;44;asandPile;omp;opt1;256;static;cores;square;spirals;6737943;-1;-1
miro;8192;512;512;48;asandPile;omp;opt1;256;static;cores;square;spirals;16369354;-1;-1
miro;8192;1024;1024;48;asandPile;omp;opt1;256;static;cores;square;spirals;16343818;-1;-1
miro;8192;2048;2048;48;asandPile;omp;opt1;256;static;cores;square;spirals;16697378;-1;-1
miro;8192;256;4;1;asandPile;omp;opt1;256;static;cores;line;spirals;22631619;-1;-1
miro;8192;512;4;1;asandPile;omp;opt1;256;static;cores;line;spirals;22238667;-1;-1
miro;8192;1024;4;1;asandPile;omp;opt1;256;static;cores;line;spirals;19252902;-1;-1
miro;8192;2048;4;1;asandPile;omp;opt1;256;static;cores;line;spirals;18495003;-1;-1
miro;8192;4096;4;1;asandPile;omp;opt1;256;static;cores;line;spirals;18178014;-1;-1
miro;8192;256;8;1;asandPile;omp;opt1;256;static;cores;line;spirals;23232675;-1;-1
miro;8192;512;8;1;asandPile;omp;opt1;256;static;cores;line;spirals;22204923;-1;-1
miro;8192;1024;8;1;asandPile;omp;opt1;256;static;cores;line;spirals;19160297;-1;-1
miro;8192;2048;8;1;asandPile;omp;opt1;256;static;cores;line;spirals;18532599;-1;-1
miro;8192;4096;8;1;asandPile;omp;opt1;256;static;cores;line;spirals;18393984;-1;-1
miro;8192;256;16;1;asandPile;omp;opt1;256;static;cores;line;spirals;25414708;-1;-1
miro;8192;512;16;1;asandPile;omp;opt1;256;static;cores;line;spirals;21539902;-1;-1
miro;8192;1024;16;1;asandPile;omp;opt1;256;static;cores;line;spirals;19123130;-1;-1
miro;8192;2048;16;1;asandPile;omp;opt1;256;static;cores;line;spirals;18654137;-1;-1
miro;8192;4096;16;1;asandPile;omp;opt1;256;static;cores;line;spirals;18479458;-1;-1
miro;8192;256;32;1;asandPile;omp;opt1;256;static;cores;line;spirals;27528049;-1;-1
miro;8192;512;32;1;asandPile;omp;opt1;256;static;cores;line;spirals;21553456;-1;-1
miro;8192;1024;32;1;asandPile;omp;opt1;256;static;cores;line;spirals;19066360;-1;-1
miro;8192;2048;32;1;asandPile;omp;opt1;256;static;cores;line;spirals;18668091;-1;-1
miro;8192;4096;32;1;asandPile;omp;opt1;256;static;cores;line;spirals;18546362;-1;-1
miro;8192;256;64;1;asandPile;omp;opt1;256;static;cores;line;spirals;27640252;-1;-1
miro;8192;512;64;1;asandPile;omp;opt1;256;static;cores;line;spirals;21555927;-1;-1
miro;8192;1024;64;1;asandPile;omp;opt1;256;static;cores;line;spirals;19041304;-1;-1
miro;8192;2048;64;1;asandPile;omp;opt1;256;static;cores;line;spirals;18667598;-1;-1
miro;8192;4096;64;1;asandPile;omp;opt1;256;static;cores;line;spirals;18493194;-1;-1
miro;8192;256;128;1;asandPile;omp;opt1;256;static;cores;line;spirals;27536673;-1;-1
miro;8192;512;128;1;asandPile;omp;opt1;256;static;cores;line;spirals;21561192;-1;-1
miro;8192;1024;128;1;asandPile;omp;opt1;256;static;cores;line;spirals;19046071;-1;-1
miro;8192;2048;128;1;asandPile;omp;opt1;256;static;cores;line;spirals;18688832;-1;-1
miro;8192;4096;128;1;asandPile;omp;opt1;256;static;cores;line;spirals;18543646;-1;-1
miro;8192;256;256;1;asandPile;omp;opt1;256;static;cores;line;spirals;27466470;-1;-1
miro;8192;512;256;1;asandPile;omp;opt1;256;static;cores;line;spirals;21540835;-1;-1
miro;8192;1024;256;1;asandPile;omp;opt1;256;static;cores;line;spirals;19060756;-1;-1
miro;8192;2048;256;1;asandPile;omp;opt1;256;static;cores;line;spirals;18683975;-1;-1
miro;8192;4096;256;1;asandPile;omp;opt1;256;static;cores;line;spirals;18534274;-1;-1
miro;8192;256;4;4;asandPile;omp;opt1;256;static;cores;line;spirals;5947612;-1;-1
miro;8192;512;4;4;asandPile;omp;opt1;256;static;cores;line;spirals;6094669;-1;-1
miro;8192;1024;4;4;asandPile;omp;opt1;256;static;cores;line;spirals;4958997;-1;-1
miro;8192;2048;4;4;asandPile;omp;opt1;256;static;cores;line;spirals;4756503;-1;-1
miro;8192;4096;4;4;asandPile;omp;opt1;256;static;cores;line;spirals;4648039;-1;-1
miro;8192;256;8;4;asandPile;omp;opt1;256;static;cores;line;spirals;6144677;-1;-1
miro;8192;512;8;4;asandPile;omp;opt1;256;static;cores;line;spirals;6049804;-1;-1
miro;8192;1024;8;4;asandPile;omp;opt1;256;static;cores;line;spirals;4934415;-1;-1
miro;8192;2048;8;4;asandPile;omp;opt1;256;static;cores;line;spirals;4768683;-1;-1
miro;8192;4096;8;4;asandPile;omp;opt1;256;static;cores;line;spirals;4683569;-1;-1
miro;8192;256;16;4;asandPile;omp;opt1;256;static;cores;line;spirals;6875259;-1;-1
miro;8192;512;16;4;asandPile;omp;opt1;256;static;cores;line;spirals;5627389;-1;-1
miro;8192;1024;16;4;asandPile;omp;opt1;256;static;cores;line;spirals;4952393;-1;-1
miro;8192;2048;16;4;asandPile;omp;opt1;256;static;cores;line;spirals;4761218;-1;-1
miro;8192;4096;16;4;asandPile;omp;opt1;256;static;cores;line;spirals;4706816;-1;-1
miro;8192;256;32;4;asandPile;omp;opt1;256;static;cores;line;spirals;7467955;-1;-1
miro;8192;512;32;4;asandPile;omp;opt1;256;static;cores;line;spirals;5560346;-1;-1
miro;8192;1024;32;4;asandPile;omp;opt1;256;static;cores;line;spirals;4935386;-1;-1
miro;8192;2048;32;4;asandPile;omp;opt1;256;static;cores;line;spirals;4765973;-1;-1
miro;8192;4096;32;4;asandPile;omp;opt1;256;static;cores;line;spirals;4712669;-1;-1
miro;8192;256;64;4;asandPile;omp;opt1;256;static;cores;line;spirals;7550941;-1;-1
miro;8192;512;64;4;asandPile;omp;opt1;256;static;cores;line;spirals;5539853;-1;-1
miro;8192;1024;64;4;asandPile;omp;opt1;256;static;cores;line;spirals;4909455;-1;-1
miro;8192;2048;64;4;asandPile;omp;opt1;256;static;cores;line;spirals;4762982;-1;-1
miro;8192;4096;64;4;asandPile;omp;opt1;256;static;cores;line;spirals;4735626;-1;-1
miro;8192;256;128;4;asandPile;omp;opt1;256;static;cores;line;spirals;7581436;-1;-1
miro;8192;512;128;4;asandPile;omp;opt1;256;static;cores;line;spirals;5545287;-1;-1
miro;8192;1024;128;4;asandPile;omp;opt1;256;static;cores;line;spirals;4924263;-1;-1
miro;8192;2048;128;4;asandPile;omp;opt1;256;static;cores;line;spirals;4771771;-1;-1
miro;8192;4096;128;4;asandPile;omp;opt1;256;static;cores;line;spirals;4724613;-1;-1
miro;8192;256;256;4;asandPile;omp;opt1;256;static;cores;line;spirals;7501636;-1;-1
miro;8192;512;256;4;asandPile;omp;opt1;256;static;cores;line;spirals;5529121;-1;-1
miro;8192;1024;256;4;asandPile;omp;opt1;256;static;cores;line;spirals;4959351;-1;-1
miro;8192;2048;256;4;asandPile;omp;opt1;256;static;cores;line;spirals;4774007;-1;-1
miro;8192;4096;256;4;asandPile;omp;opt1;256;static;cores;line;spirals;4715771;-1;-1
miro;8192;256;4;8;asandPile;omp;opt1;256;static;cores;line;spirals;3433393;-1;-1
miro;8192;512;4;8;asandPile;omp;opt1;256;static;cores;line;spirals;3287801;-1;-1
miro;8192;1024;4;8;asandPile;omp;opt1;256;static;cores;line;spirals;2579949;-1;-1
miro;8192;2048;4;8;asandPile;omp;opt1;256;static;cores;line;spirals;2457638;-1;-1
miro;8192;4096;4;8;asandPile;omp;opt1;256;static;cores;line;spirals;2396670;-1;-1
miro;8192;256;8;8;asandPile;omp;opt1;256;static;cores;line;spirals;3565710;-1;-1
miro;8192;512;8;8;asandPile;omp;opt1;256;static;cores;line;spirals;3317004;-1;-1
miro;8192;1024;8;8;asandPile;omp;opt1;256;static;cores;line;spirals;2568698;-1;-1
miro;8192;2048;8;8;asandPile;omp;opt1;256;static;cores;line;spirals;2498253;-1;-1
miro;8192;4096;8;8;asandPile;omp;opt1;256;static;cores;line;spirals;2402269;-1;-1
miro;8192;256;16;8;asandPile;omp;opt1;256;static;cores;line;spirals;3988959;-1;-1
miro;8192;512;16;8;asandPile;omp;opt1;256;static;cores;line;spirals;3075971;-1;-1
miro;8192;1024;16;8;asandPile;omp;opt1;256;static;cores;line;spirals;2587745;-1;-1
miro;8192;2048;16;8;asandPile;omp;opt1;256;static;cores;line;spirals;2464229;-1;-1
miro;8192;4096;16;8;asandPile;omp;opt1;256;static;cores;line;spirals;2441699;-1;-1
miro;8192;256;32;8;asandPile;omp;opt1;256;static;cores;line;spirals;4259262;-1;-1
miro;8192;512;32;8;asandPile;omp;opt1;256;static;cores;line;spirals;3076454;-1;-1
miro;8192;1024;32;8;asandPile;omp;opt1;256;static;cores;line;spirals;2553943;-1;-1
miro;8192;2048;32;8;asandPile;omp;opt1;256;static;cores;line;spirals;2487061;-1;-1
miro;8192;4096;32;8;asandPile;omp;opt1;256;static;cores;line;spirals;2451512;-1;-1
miro;8192;256;64;8;asandPile;omp;opt1;256;static;cores;line;spirals;4391971;-1;-1
miro;8192;512;64;8;asandPile;omp;opt1;256;static;cores;line;spirals;3138132;-1;-1
miro;8192;1024;64;8;asandPile;omp;opt1;256;static;cores;line;spirals;2573030;-1;-1
miro;8192;2048;64;8;asandPile;omp;opt1;256;static;cores;line;spirals;2463175;-1;-1
miro;8192;4096;64;8;asandPile;omp;opt1;256;static;cores;line;spirals;2499377;-1;-1
miro;8192;256;128;8;asandPile;omp;opt1;256;static;cores;line;spirals;4366989;-1;-1
miro;8192;512;128;8;asandPile;omp;opt1;256;static;cores;line;spirals;3078866;-1;-1
miro;8192;1024;128;8;asandPile;omp;opt1;256;static;cores;line;spirals;2587325;-1;-1
miro;8192;2048;128;8;asandPile;omp;opt1;256;static;cores;line;spirals;2517281;-1;-1
miro;8192;4096;128;8;asandPile;omp;opt1;256;static;cores;line;spirals;2485777;-1;-1
miro;8192;256;256;8;asandPile;omp;opt1;256;static;cores;line;spirals;4399244;-1;-1
miro;8192;512;256;8;asandPile;omp;opt1;256;static;cores;line;spirals;3058383;-1;-1
miro;8192;1024;256;8;asandPile;omp;opt1;256;static;cores;line;spirals;2582357;-1;-1
miro;8192;2048;256;8;asandPile;omp;opt1;256;static;cores;line;spirals;2499232;-1;-1
miro;8192;4096;256;8;asandPile;omp;opt1;256;static;cores;line;spirals;2474306;-1;-1
miro;8192;256;4;12;asandPile;omp;opt1;256;static;cores;line;spirals;3123438;-1;-1
miro;8192;512;4;12;asandPile;omp;opt1;256;static;cores;line;spirals;2745444;-1;-1
miro;8192;1024;4;12;asandPile;omp;opt1;256;static;cores;line;spirals;1891235;-1;-1
miro;8192;2048;4;12;asandPile;omp;opt1;256;static;cores;line;spirals;1798024;-1;-1
miro;8192;4096;4;12;asandPile;omp;opt1;256;static;cores;line;spirals;1728566;-1;-1
miro;8192;256;8;12;asandPile;omp;opt1;256;static;cores;line;spirals;3234641;-1;-1
miro;8192;512;8;12;asandPile;omp;opt1;256;static;cores;line;spirals;2753415;-1;-1
miro;8192;1024;8;12;asandPile;omp;opt1;256;static;cores;line;spirals;1923444;-1;-1
miro;8192;2048;8;12;asandPile;omp;opt1;256;static;cores;line;spirals;1830277;-1;-1
miro;8192;4096;8;12;asandPile;omp;opt1;256;static;cores;line;spirals;1764745;-1;-1
miro;8192;256;16;12;asandPile;omp;opt1;256;static;cores;line;spirals;3389624;-1;-1
miro;8192;512;16;12;asandPile;omp;opt1;256;static;cores;line;spirals;2684163;-1;-1
miro;8192;1024;16;12;asandPile;omp;opt1;256;static;cores;line;spirals;1900615;-1;-1
miro;8192;2048;16;12;asandPile;omp;opt1;256;static;cores;line;spirals;1827079;-1;-1
miro;8192;4096;16;12;asandPile;omp;opt1;256;static;cores;line;spirals;1897072;-1;-1
miro;8192;256;32;12;asandPile;omp;opt1;256;static;cores;line;spirals;3481386;-1;-1
miro;8192;512;32;12;asandPile;omp;opt1;256;static;cores;line;spirals;2726540;-1;-1
miro;8192;1024;32;12;asandPile;omp;opt1;256;static;cores;line;spirals;1924599;-1;-1
miro;8192;2048;32;12;asandPile;omp;opt1;256;static;cores;line;spirals;1897464;-1;-1
miro;8192;4096;32;12;asandPile;omp;opt1;256;static;cores;line;spirals;1902130;-1;-1
miro;8192;256;64;12;asandPile;omp;opt1;256;static;cores;line;spirals;3617551;-1;-1
miro;8192;512;64;12;asandPile;omp;opt1;256;static;cores;line;spirals;2732615;-1;-1
miro;8192;1024;64;12;asandPile;omp;opt1;256;static;cores;line;spirals;1958728;-1;-1
miro;8192;2048;64;12;asandPile;omp;opt1;256;static;cores;line;spirals;1872607;-1;-1
miro;8192;4096;64;12;asandPile;omp;opt1;256;static;cores;line;spirals;2055911;-1;-1
