machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
renoir;1024;16;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;339109;-1;-1
renoir;1024;32;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;225055;-1;-1
renoir;1024;64;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;200057;-1;-1
renoir;1024;128;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;203140;-1;-1
renoir;1024;512;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;192586;-1;-1
renoir;1024;1024;16;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;195875;-1;-1
renoir;1024;16;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;339242;-1;-1
renoir;1024;32;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;246868;-1;-1
renoir;1024;64;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;247650;-1;-1
renoir;1024;128;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;241606;-1;-1
renoir;1024;512;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;197636;-1;-1
renoir;1024;1024;32;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;193699;-1;-1
renoir;1024;16;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;337338;-1;-1
renoir;1024;32;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;240496;-1;-1
renoir;1024;64;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;248950;-1;-1
renoir;1024;128;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;246523;-1;-1
renoir;1024;512;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;193857;-1;-1
renoir;1024;1024;64;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;194004;-1;-1
renoir;1024;16;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;337902;-1;-1
renoir;1024;32;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;243620;-1;-1
renoir;1024;64;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;249272;-1;-1
renoir;1024;128;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;244577;-1;-1
renoir;1024;512;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;196998;-1;-1
renoir;1024;1024;128;1;ssandPile;omp_tiled;avx;256;static;cores;line;none;194268;-1;-1
renoir;1024;16;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;96826;-1;-1
renoir;1024;32;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;66774;-1;-1
renoir;1024;64;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;62908;-1;-1
renoir;1024;128;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;62134;-1;-1
renoir;1024;512;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;59438;-1;-1
renoir;1024;1024;16;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;61382;-1;-1
