machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
millet;1024;16;16;1;ssandPile;omp_tiled;avx;250;static;cores;carre;none;350263;-1;-1
millet;1024;32;32;1;ssandPile;omp_tiled;avx;250;static;cores;carre;none;262609;-1;-1
millet;1024;16;16;4;ssandPile;omp_tiled;avx;250;static;cores;carre;none;94870;-1;-1
millet;1024;32;32;4;ssandPile;omp_tiled;avx;250;static;cores;carre;none;72864;-1;-1
millet;1024;16;16;8;ssandPile;omp_tiled;avx;250;static;cores;carre;none;54617;-1;-1
millet;1024;32;32;8;ssandPile;omp_tiled;avx;250;static;cores;carre;none;36994;-1;-1
millet;1024;16;16;12;ssandPile;omp_tiled;avx;250;static;cores;carre;none;42288;-1;-1
millet;1024;32;32;12;ssandPile;omp_tiled;avx;250;static;cores;carre;none;28439;-1;-1
millet;1024;16;16;16;ssandPile;omp_tiled;avx;250;static;cores;carre;none;37823;-1;-1
millet;1024;32;32;16;ssandPile;omp_tiled;avx;250;static;cores;carre;none;30084;-1;-1
millet;1024;16;16;20;ssandPile;omp_tiled;avx;250;static;cores;carre;none;36625;-1;-1
millet;1024;32;32;20;ssandPile;omp_tiled;avx;250;static;cores;carre;none;37673;-1;-1
millet;1024;16;16;24;ssandPile;omp_tiled;avx;250;static;cores;carre;none;28720;-1;-1
millet;1024;32;32;24;ssandPile;omp_tiled;avx;250;static;cores;carre;none;22685;-1;-1
millet;1024;16;16;28;ssandPile;omp_tiled;avx;250;static;cores;carre;none;28548;-1;-1
millet;1024;32;32;28;ssandPile;omp_tiled;avx;250;static;cores;carre;none;24707;-1;-1
millet;1024;16;16;32;ssandPile;omp_tiled;avx;250;static;cores;carre;none;35271;-1;-1
millet;1024;32;32;32;ssandPile;omp_tiled;avx;250;static;cores;carre;none;19839;-1;-1
millet;1024;16;16;36;ssandPile;omp_tiled;avx;250;static;cores;carre;none;28340;-1;-1
millet;1024;32;32;36;ssandPile;omp_tiled;avx;250;static;cores;carre;none;26835;-1;-1
millet;1024;16;16;40;ssandPile;omp_tiled;avx;250;static;cores;carre;none;27796;-1;-1
