machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;254986;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;251625;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;148591;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;150261;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114502;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;135573;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;2212384;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;558522;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;246756;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;253401;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;145590;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;145490;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114448;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;126939;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;10937895;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;5178824;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;248473;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;253701;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;142415;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;146245;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114505;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;126466;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;2157736;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;144012;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;246859;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;252225;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;145366;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;145707;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114067;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;127198;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;122074;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;132307;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;248087;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;251142;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;142360;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;148508;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;112919;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;126334;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;127539;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;130583;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;246370;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;254061;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;144739;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;149613;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114639;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;128579;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;128791;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;133672;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;243813;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;250768;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;143644;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;149009;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114572;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;128051;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;127475;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;371263;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;247118;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;250093;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;141708;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;148610;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;116055;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;131056;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;131044;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;133349;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;246418;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;251378;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;142807;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;147003;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114199;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;126468;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;124459;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;136333;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;245891;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;251293;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;143299;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;147126;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;116772;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;129372;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;129299;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;134724;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;247391;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;251655;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;143124;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;150619;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;113235;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;129326;-1;-1
westly;512;32;32;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;123806;-1;-1
westly;512;64;64;24;ssandPile;omp_tiled;avx;5000;static;cores;line;none;130668;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;246388;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;5000;static;cores;line;none;250148;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;144555;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;5000;static;cores;line;none;149483;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;5000;static;cores;line;none;114830;-1;-1
