machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;24347;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22666;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15288;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;14502;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;15149;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;13158;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;56963;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;56056;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;80946;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;80730;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22468;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23256;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15774;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;16286;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;13854;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12875;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;61233;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;61840;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;80172;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;81679;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22433;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;25529;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;14806;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15909;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12292;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;13587;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;58351;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;57413;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;73659;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;75320;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22709;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22742;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;14157;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;16231;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;40029;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;13381;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;54508;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;58106;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;73027;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;73470;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;22316;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23551;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15328;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;14546;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12086;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12351;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;52979;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;58918;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;99828;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;104669;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23878;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;24435;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15383;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15915;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12531;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12525;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;54242;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;56650;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;73648;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;73606;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23432;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23517;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;14302;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15508;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;10532;-1;-1
westly;512;64;64;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;11886;-1;-1
westly;512;32;32;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;55344;-1;-1
westly;512;64;64;32;ssandPile;omp_tiled;avx;256;static;cores;line;none;56750;-1;-1
westly;512;32;32;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;83323;-1;-1
westly;512;64;64;42;ssandPile;omp_tiled;avx;256;static;cores;line;none;75535;-1;-1
westly;512;32;32;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23357;-1;-1
westly;512;64;64;4;ssandPile;omp_tiled;avx;256;static;cores;line;none;23371;-1;-1
westly;512;32;32;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15406;-1;-1
westly;512;64;64;8;ssandPile;omp_tiled;avx;256;static;cores;line;none;15268;-1;-1
westly;512;32;32;16;ssandPile;omp_tiled;avx;256;static;cores;line;none;12769;-1;-1
