machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;1024;16;16;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;488208;-1;-1
miro;1024;32;32;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;410080;-1;-1
miro;1024;64;64;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;360912;-1;-1
miro;1024;128;128;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;345983;-1;-1
miro;1024;512;512;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;312893;-1;-1
miro;1024;1024;1024;1;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;299890;-1;-1
miro;1024;16;16;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;159804;-1;-1
miro;1024;32;32;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;107878;-1;-1
miro;1024;64;64;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;93754;-1;-1
miro;1024;128;128;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;94023;-1;-1
miro;1024;512;512;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;96617;-1;-1
miro;1024;1024;1024;4;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;301250;-1;-1
miro;1024;16;16;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;89710;-1;-1
miro;1024;32;32;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;71394;-1;-1
miro;1024;64;64;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;51158;-1;-1
miro;1024;128;128;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;47638;-1;-1
miro;1024;512;512;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;98418;-1;-1
miro;1024;1024;1024;8;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;300619;-1;-1
miro;1024;16;16;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;51811;-1;-1
miro;1024;32;32;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;54638;-1;-1
miro;1024;64;64;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;48405;-1;-1
miro;1024;128;128;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;44913;-1;-1
miro;1024;512;512;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;119879;-1;-1
miro;1024;1024;1024;12;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;300971;-1;-1
miro;1024;16;16;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;65592;-1;-1
miro;1024;32;32;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;40041;-1;-1
miro;1024;64;64;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;93853;-1;-1
miro;1024;128;128;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;38339;-1;-1
miro;1024;512;512;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;99431;-1;-1
miro;1024;1024;1024;16;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;302397;-1;-1
miro;1024;16;16;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;42888;-1;-1
miro;1024;32;32;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;44684;-1;-1
miro;1024;64;64;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;45538;-1;-1
miro;1024;128;128;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;33435;-1;-1
miro;1024;512;512;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;128874;-1;-1
miro;1024;1024;1024;20;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;303620;-1;-1
miro;1024;16;16;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;35749;-1;-1
miro;1024;32;32;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;79813;-1;-1
miro;1024;64;64;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;67442;-1;-1
miro;1024;128;128;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;38187;-1;-1
miro;1024;512;512;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;129421;-1;-1
miro;1024;1024;1024;24;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;303569;-1;-1
miro;1024;16;16;28;ssandPile;omp_tiled;opt;256;static;cores;omp_tiled;spirals;37671;-1;-1
