machine;size;tilew;tileh;threads;kernel;variant;tiling;iterations;schedule;places;label;arg;time;total_cycles;total_stalls
miro;8192;512;512;1;asandPile;omp;opt1;256;static;cores;square;alea;23773624;-1;-1
miro;8192;1024;1024;1;asandPile;omp;opt1;256;static;cores;square;alea;20886198;-1;-1
miro;8192;2048;2048;1;asandPile;omp;opt1;256;static;cores;square;alea;20405627;-1;-1
miro;8192;512;512;4;asandPile;omp;opt1;256;static;cores;square;alea;6199259;-1;-1
miro;8192;1024;1024;4;asandPile;omp;opt1;256;static;cores;square;alea;5424687;-1;-1
miro;8192;2048;2048;4;asandPile;omp;opt1;256;static;cores;square;alea;5188704;-1;-1
miro;8192;512;512;8;asandPile;omp;opt1;256;static;cores;square;alea;3580879;-1;-1
miro;8192;1024;1024;8;asandPile;omp;opt1;256;static;cores;square;alea;2821164;-1;-1
miro;8192;2048;2048;8;asandPile;omp;opt1;256;static;cores;square;alea;5201526;-1;-1
miro;8192;512;512;12;asandPile;omp;opt1;256;static;cores;square;alea;3243604;-1;-1
miro;8192;1024;1024;12;asandPile;omp;opt1;256;static;cores;square;alea;3009250;-1;-1
miro;8192;2048;2048;12;asandPile;omp;opt1;256;static;cores;square;alea;5226628;-1;-1
miro;8192;512;512;16;asandPile;omp;opt1;256;static;cores;square;alea;3081364;-1;-1
miro;8192;1024;1024;16;asandPile;omp;opt1;256;static;cores;square;alea;2227683;-1;-1
miro;8192;2048;2048;16;asandPile;omp;opt1;256;static;cores;square;alea;5211618;-1;-1
miro;8192;512;512;20;asandPile;omp;opt1;256;static;cores;square;alea;3362186;-1;-1
miro;8192;1024;1024;20;asandPile;omp;opt1;256;static;cores;square;alea;2191137;-1;-1
miro;8192;2048;2048;20;asandPile;omp;opt1;256;static;cores;square;alea;5231607;-1;-1
miro;8192;512;512;24;asandPile;omp;opt1;256;static;cores;square;alea;3039523;-1;-1
miro;8192;1024;1024;24;asandPile;omp;opt1;256;static;cores;square;alea;2285041;-1;-1
miro;8192;2048;2048;24;asandPile;omp;opt1;256;static;cores;square;alea;5433015;-1;-1
miro;8192;512;512;28;asandPile;omp;opt1;256;static;cores;square;alea;3164037;-1;-1
miro;8192;1024;1024;28;asandPile;omp;opt1;256;static;cores;square;alea;2552657;-1;-1
miro;8192;2048;2048;28;asandPile;omp;opt1;256;static;cores;square;alea;8505380;-1;-1
miro;8192;512;512;32;asandPile;omp;opt1;256;static;cores;square;alea;3134186;-1;-1
miro;8192;1024;1024;32;asandPile;omp;opt1;256;static;cores;square;alea;2418443;-1;-1
miro;8192;2048;2048;32;asandPile;omp;opt1;256;static;cores;square;alea;8555368;-1;-1
miro;8192;512;512;36;asandPile;omp;opt1;256;static;cores;square;alea;3110348;-1;-1
miro;8192;1024;1024;36;asandPile;omp;opt1;256;static;cores;square;alea;2469557;-1;-1
miro;8192;2048;2048;36;asandPile;omp;opt1;256;static;cores;square;alea;8508271;-1;-1
miro;8192;512;512;40;asandPile;omp;opt1;256;static;cores;square;alea;3257945;-1;-1
miro;8192;1024;1024;40;asandPile;omp;opt1;256;static;cores;square;alea;2464676;-1;-1
miro;8192;2048;2048;40;asandPile;omp;opt1;256;static;cores;square;alea;8507584;-1;-1
miro;8192;512;512;44;asandPile;omp;opt1;256;static;cores;square;alea;8750657;-1;-1
miro;8192;1024;1024;44;asandPile;omp;opt1;256;static;cores;square;alea;2453852;-1;-1
miro;8192;2048;2048;44;asandPile;omp;opt1;256;static;cores;square;alea;8545849;-1;-1
miro;8192;512;512;48;asandPile;omp;opt1;256;static;cores;square;alea;16357496;-1;-1
miro;8192;1024;1024;48;asandPile;omp;opt1;256;static;cores;square;alea;16279175;-1;-1
miro;8192;2048;2048;48;asandPile;omp;opt1;256;static;cores;square;alea;16343966;-1;-1
miro;8192;256;4;1;asandPile;omp;opt1;256;static;cores;line;alea;24996081;-1;-1
miro;8192;512;4;1;asandPile;omp;opt1;256;static;cores;line;alea;25374376;-1;-1
miro;8192;1024;4;1;asandPile;omp;opt1;256;static;cores;line;alea;21669182;-1;-1
miro;8192;2048;4;1;asandPile;omp;opt1;256;static;cores;line;alea;20909936;-1;-1
miro;8192;4096;4;1;asandPile;omp;opt1;256;static;cores;line;alea;20520723;-1;-1
miro;8192;256;8;1;asandPile;omp;opt1;256;static;cores;line;alea;25468377;-1;-1
miro;8192;512;8;1;asandPile;omp;opt1;256;static;cores;line;alea;24843346;-1;-1
miro;8192;1024;8;1;asandPile;omp;opt1;256;static;cores;line;alea;21303547;-1;-1
miro;8192;2048;8;1;asandPile;omp;opt1;256;static;cores;line;alea;20660185;-1;-1
miro;8192;4096;8;1;asandPile;omp;opt1;256;static;cores;line;alea;20297438;-1;-1
miro;8192;256;16;1;asandPile;omp;opt1;256;static;cores;line;alea;28631444;-1;-1
